City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
330,Stollberg,DE,50.7167,12.8,37.0,90,100,8.55,overcast clouds
331,Wichian Buri,TH,15.6578,101.106,81.82,68,0,4.43,clear sky
332,Baguanos,CU,20.7517,-76.0269,87.8,37,40,13.8,scattered clouds
333,Eyrarbakki,IS,63.863,-21.1481,41.0,87,90,1.14,overcast clouds
334,Longyearbyen,SJ,78.2186,15.6401,3.2,78,20,13.8,few clouds
335,Montepuez,MZ,-13.1256,38.9997,70.11,91,100,4.83,overcast clouds
336,Tilichiki,RU,60.4667,166.1,-17.68,87,98,12.75,overcast clouds
337,Kharp,RU,66.8014,65.8081,3.43,92,100,4.47,overcast clouds
338,Nishihara,JP,26.1842,127.7558,68.0,68,90,8.05,overcast clouds
339,Maldonado,UY,-34.6667,-54.9167,79.0,79,100,1.01,overcast clouds
340,Conde,BR,-7.2597,-34.9075,82.4,83,75,18.41,broken clouds
341,Yerbogachen,RU,61.2767,108.0108,-16.49,86,100,7.65,overcast clouds
342,Severo-Yeniseyskiy,RU,60.3725,93.0408,8.42,95,100,6.02,overcast clouds
343,Kantang,TH,7.4054,99.5156,74.88,93,90,4.36,overcast clouds
344,Gat,IL,31.61,34.7642,54.0,100,7,4.56,clear sky
345,Mao,ES,39.8885,4.2658,51.8,82,0,5.75,clear sky
